order_id,seller_id,rider_id,cluster_id,scheduled_time,delivered_time,pickup_latitude,pickup_longitude,delivered_latitude,delivered_longitude
1865297,2213,2765,56,"2016-04-03 05:01:45","2016-04-03 05:42:11",12.9059519782,77.5855685771,12.88468,77.582
1866145,2287,3368,91,"2016-04-03 05:50:44",NULL,12.9658318,77.7166191,12.96294,77.7123
1866147,343,973,41,"2016-04-03 05:50:56","2016-04-03 06:15:49",12.959203,77.653895,12.9598,77.649
1866159,2287,3316,91,"2016-04-03 05:50:36","2016-04-03 05:59:06",12.9658318,77.7166191,12.96294,77.7123
1866218,2313,3424,56,"2016-04-03 05:51:55",NULL,12.9062901,77.5930025,12.90162,77.582
1866341,310,1385,39,"2016-04-03 06:02:11","2016-04-03 06:27:19",12.976993,77.6407623,12.97189,77.64115
1866406,2357,2158,52,"2016-04-03 06:03:30","2016-04-03 06:48:25",12.9166268806398,77.6062202453613,12.926124,77.60707
1866466,2287,3316,91,"2016-04-03 06:08:38","2016-04-03 07:21:52",12.9658318,77.7166191,12.96294,77.7123
1866472,2287,3502,91,"2016-04-03 06:09:09",NULL,12.9658318,77.7166191,12.96294,77.7123
1866501,2243,3052,96,"2016-04-03 06:07:59",NULL,12.8904418,77.5980522,12.88512,77.62068
1866532,2357,2373,52,"2016-04-03 06:11:29","2016-04-03 06:34:17",12.9166268806398,77.6062202453613,12.8963,77.6357
1866553,655,1281,100,"2016-04-03 06:12:29","2016-04-03 06:43:03",12.92514,77.55054,12.9624,77.56839
1866630,655,1303,100,"2016-04-03 06:18:38",NULL,12.92514,77.55054,12.9624,77.56839
1866633,2357,2373,52,"2016-04-03 06:19:15","2016-04-03 06:41:25",12.9166268806398,77.6062202453613,12.9151,77.6128
1866636,343,972,41,"2016-04-03 06:17:11","2016-04-03 06:50:09",12.959203,77.653895,12.9657,77.657
1866642,1991,1267,52,"2016-04-03 06:18:35","2016-04-03 06:42:09",12.9167593,77.5926123,12.91049,77.58572
1866778,1972,3105,41,"2016-04-03 06:24:28","2016-04-03 06:37:54",12.9592262,77.6563067,12.959561,77.649
1866780,655,1281,100,"2016-04-03 06:27:02",NULL,12.92514,77.55054,12.9408,77.54529
1866785,1972,3105,41,"2016-04-03 06:27:51","2016-04-03 06:37:57",12.9592262,77.6563067,12.9598,77.649
1866788,1458,2515,74,"2016-04-03 06:28:00",NULL,12.9558901,77.7083171,12.9512,77.69977
1866855,655,3673,100,"2016-04-03 06:31:57","2016-04-03 06:57:12",12.92514,77.55054,12.92128,77.54229
1866871,693,2565,42,"2016-04-03 06:35:24","2016-04-03 06:54:35",12.9126074,77.6504847,12.91,77.64
